Number,Common Name,Scientific Name,Count,Location,Date,LocID,SubID
171,Yellow-breasted Chat,Icteria virens,1,Central Park--Sparrow Rock section,10 Sep 2023,L4967281,S149700045
170,Wilson's Snipe,Gallinago delicata,1,Central Park--The Pool,24 Aug 2023,L318103,S147990194
169,Yellow-bellied Flycatcher,Empidonax flaviventris,1,Central Park--The Ramble,22 Aug 2023,L109518,S147857686
168,Black-billed Cuckoo,Coccyzus erythropthalmus,1,Central Park--The Ramble,22 Aug 2023,L109518,S147857686
167,Semipalmated Sandpiper,Calidris pusilla,2,"Hudson River Park--Pier 26, TriBeCa (featuring a Tide Deck)",20 Aug 2023,L15858389,S147735204
166,Bald Eagle,Haliaeetus leucocephalus,1,Inwood Hill Park,05 Aug 2023,L684740,S146502138
165,Least Sandpiper,Calidris minutilla,1,"Hudson River Park--Pier 26, TriBeCa (featuring a Tide Deck)",04 Aug 2023,L15858389,S146399348
164,Yellow-crowned Night Heron,Nyctanassa violacea,2,Randalls Island,19 Jun 2023,L1293732,S142121862
163,Acadian Flycatcher,Empidonax virescens,1,Central Park,12 Jun 2023,L191106,S141333516
162,Osprey,Pandion haliaetus,2,Inwood Hill Park,30 May 2023,L684740,S139938629
161,Turkey Vulture,Cathartes aura,1,Inwood Hill Park,27 May 2023,L684740,S139450501
160,Willow Flycatcher,Empidonax traillii,1,Governors Island (N.Y. County),21 May 2023,L555894,S138749833
159,Cliff Swallow,Petrochelidon pyrrhonota,2,Randalls Island,18 May 2023,L1293732,S138244721
158,Alder Flycatcher,Empidonax alnorum,1,Randalls Island,18 May 2023,L1293732,S138244721
157,Eastern Kingbird,Tyrannus tyrannus,2,Central Park,14 May 2023,L191106,S137712896
156,White-crowned Sparrow,Zonotrichia leucophrys,1,Central Park--North End (N of 97th St. Transverse),12 May 2023,L794140,S137225993
155,Eastern Wood-Pewee,Contopus virens,4,Central Park--North End (N of 97th St. Transverse),12 May 2023,L794140,S137225993
154,Olive-sided Flycatcher,Contopus cooperi,1,Central Park--North End (N of 97th St. Transverse),12 May 2023,L794140,S137225993
153,Tennessee Warbler,Leiothlypis peregrina,1,Central Park--North End (N of 97th St. Transverse),11 May 2023,L794140,S137087331
152,Common Nighthawk,Chordeiles minor,1,Central Park--North End (N of 97th St. Transverse),11 May 2023,L794140,S137087331
151,Lincoln's Sparrow,Melospiza lincolnii,1,Central Park--The Pool,10 May 2023,L318103,S136922974
150,Summer Tanager,Piranga rubra,1,Central Park,10 May 2023,L191106,S136922229
149,Blackpoll Warbler,Setophaga striata,1,Central Park,10 May 2023,L191106,S136922229
148,Barn Swallow,Hirundo rustica,20,Governors Island (N.Y. County),09 May 2023,L555894,S136768787
147,Tree Swallow,Tachycineta bicolor,20,Governors Island (N.Y. County),09 May 2023,L555894,S136768787
146,Common Tern,Sterna hirundo,20,Governors Island (N.Y. County),09 May 2023,L555894,S136768787
145,Laughing Gull,Leucophaeus atricilla,3,Governors Island (N.Y. County),09 May 2023,L555894,S136768787
144,Least Flycatcher,Empidonax minimus,1,Central Park,08 May 2023,L191106,S136696551
